X,Y,U,V,Phi
0.000000,0.000000,0.000000,0.000000,-0.000021
6.350000,0.000000,0.000000,0.000000,0.000001
6.350000,12.700000,-0.007829,-0.023111,0.000037
0.000000,12.700000,-0.010733,-0.025330,0.000029
6.350000,0.000000,-0.000000,-0.000000,0.000001
12.700000,0.000000,-0.000000,-0.000000,0.000000
12.700000,12.700000,-0.005246,-0.021618,0.000022
6.350000,12.700000,-0.007829,-0.023111,0.000037
0.000000,12.700000,-0.010733,-0.025330,0.000029
6.350000,12.700000,-0.007829,-0.023111,0.000037
6.350000,25.400000,-0.011554,-0.046216,0.000043
0.000000,25.400000,-0.014607,-0.047910,0.000039
6.350000,12.700000,-0.007829,-0.023111,0.000037
12.700000,12.700000,-0.005246,-0.021618,0.000022
12.700000,25.400000,-0.008536,-0.044431,0.000039
6.350000,25.400000,-0.011554,-0.046216,0.000043
12.700000,0.000000,-0.000000,-0.000000,0.000000
19.050000,0.000000,0.000000,0.000000,0.000000
19.050000,12.700000,-0.003218,-0.020655,0.000013
12.700000,12.700000,-0.005246,-0.021618,0.000022
19.050000,0.000000,0.000000,0.000000,0.000000
25.400000,0.000000,0.000000,0.000000,0.000000
25.400000,12.700000,-0.001597,-0.019967,0.000008
19.050000,12.700000,-0.003218,-0.020655,0.000013
12.700000,12.700000,-0.005246,-0.021618,0.000022
19.050000,12.700000,-0.003218,-0.020655,0.000013
19.050000,25.400000,-0.005647,-0.042793,0.000035
12.700000,25.400000,-0.008536,-0.044431,0.000039
19.050000,12.700000,-0.003218,-0.020655,0.000013
25.400000,12.700000,-0.001597,-0.019967,0.000008
25.400000,25.400000,-0.002912,-0.041371,0.000031
19.050000,25.400000,-0.005647,-0.042793,0.000035
25.400000,0.000000,-0.000000,-0.000000,0.000000
31.750000,-0.000000,-0.000000,-0.000000,0.000000
31.750000,12.700000,-0.000261,-0.019503,0.000006
25.400000,12.700000,-0.001597,-0.019967,0.000008
31.750000,-0.000000,-0.000000,-0.000000,0.000000
38.100000,0.000000,0.000000,0.000000,0.000000
38.100000,12.700000,0.000890,-0.019331,0.000005
31.750000,12.700000,-0.000261,-0.019503,0.000006
25.400000,12.700000,-0.001597,-0.019967,0.000008
31.750000,12.700000,-0.000261,-0.019503,0.000006
31.750000,25.400000,-0.000322,-0.040223,0.000027
25.400000,25.400000,-0.002912,-0.041371,0.000031
31.750000,12.700000,-0.000261,-0.019503,0.000006
38.100000,12.700000,0.000890,-0.019331,0.000005
38.100000,25.400000,0.002121,-0.039532,0.000023
31.750000,25.400000,-0.000322,-0.040223,0.000027
38.100000,0.000000,0.000000,0.000000,0.000000
44.450000,0.000000,0.000000,0.000000,-0.000002
44.450000,12.700000,0.001991,-0.019573,0.000007
38.100000,12.700000,0.000890,-0.019331,0.000005
44.450000,0.000000,0.000000,-0.000000,-0.000002
50.800000,0.000000,0.000000,0.000000,0.000000
50.800000,12.700000,0.003238,-0.020293,0.000007
44.450000,12.700000,0.001991,-0.019573,0.000007
50.800000,0.000000,0.000000,0.000000,0.000000
